BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Closet2,1,0,24400*12200,2.9768E8,22,2.938764E8,98.72225208277345%,
Closet2,2,0,24400*12200,2.9768E8,5,8.47528E7,28.47110991668906%,
Closet2,3,0,24400*12200,2.9768E8,14,2.915603E8,97.94420182746573%,
Closet2,4,0,24400*12200,2.9768E8,8,2.92997E8,98.42683418435904%,
Closet2,5,0,24400*12200,2.9768E8,13,2.9293005E8,98.40434359043267%,
Closet2,6,1,24400*12200,2.9768E8,4,2.430888E8,81.66111260413867%,
Closet2,7,1,24400*12200,2.9768E8,1,4.02864E7,13.533458747648483%,
Closet2,8,1,24400*12200,2.9768E8,2,2.64684E8,88.91561408223596%,
Closet2,9,1,24400*12200,2.9768E8,3,2.62983E8,88.3441951088417%,
Closet2,10,1,24400*12200,2.9768E8,5,2.533931E8,85.12264848159097%,
Closet2,11,1,24400*12200,2.9768E8,4,2.32892E8,78.23568933082505%,
Closet2,12,1,24400*12200,2.9768E8,10,2.852334E8,95.8187987100242%,
Closet2,13,1,24400*12200,2.9768E8,6,2.558886E8,85.9609647944101%,
Closet2,14,1,24400*12200,2.9768E8,8,2.929592E8,98.41413598495028%,
Closet2,15,1,24400*12200,2.9768E8,5,2.575494E8,86.5188793335125%,
Closet2,16,1,24400*12200,2.9768E8,5,2.6956705E8,90.55598293469497%,
